Batman - The Movie Review. But this for my kids and it was the most boring movie I have ever watched.The shows are more entertaining to watch then the movie 
Not good... Just rented this dvd and was quite surprised. Normally, I m a big George Clooney and Matt Damon fan. However, in this film, their talents were underutilized and 
For Joe Dallesandro fans only. If you are looking for a good story and character development, this movie dissapoints. The story is rather thin and slow with more focus on 
Rip Off. Like many of the other reviewers I feel cheated. Anything contoversial was left out. As a dumb suburban honkey myself, I demand the reissue of this dvd with 
What Were They Thinking?. Man, I don t know what the other reviewers of this movie were smoking, but it should be illegal! This is, first off, a terrible DVD: 
Dont get Fiji final week ... Dont dwnld Survivor, Thunderstorms & Sacrifice . Its my fault for not reading the whole thing. you would think that the last episode would 
Painful. From the cover, this movie looked like a fun mixture of Cruel Intentions and Metropolitan. No such luck. I think the biggest problem in this movie was the script-- 
LA FEMME FONDA. The gutsy performance of Bridget Fonda is the only saving grace of this ultra-violent, nihilistic remake of the French hit LA FEMME NIKITA. Director John Badham manages 
Mixed feelings. I have very mixed feeling about this tape. When I bought it, I did not realize it was for new mothers. I have Cindy s two previous workouts 
NL BOMB !!!!!. I just purchased this film and viewed it. It is the BIGGEST WASTE OF MONEY !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Buyer beware !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!I Love National Lampoon, but this was not a hit. 
Jet, what were you doing in this?. Jet Li as a contrac killer? Come on! The reason why this movie isn t that famous is because it pretty much sucks. 
A Waste of Time. I think this is the same version of Animal Farm I saw that completely changed the ending of the book. This version actually makes a happy 
Warning Incomplete Episode!!!. The episodes in this series have an average running time of 50 minutes. This one happens to be only 18 minutes. This mean sthat the file abruptly 
Beware of Unbox!!!. Amazon is offering a promotion where you are supposed to get a free TV show whenever you buy a DVD in Dec. Well, they charged me for 
Buyer Beware - Not What s Advertised. Don t know why my first note hasn t appeared, so I ll briefly restate. the claim-to-fame of this film is it s 
the worst vampires movie. Is a bad sequel and have a poor quality of special effects  
All lies, an attack on america... For what purpose these lies about the life of this man? Are the liberal film makers racists who don t believe that there is 
Why the Charge. Curious as to why Amazon would charge for this content when CBS offers it for free on the official Survivor Website. Yeah, at the CBS site you 
Creaky. Charles Laughton plays the rotund monarch in a role that was highly praised. But it s lumbering and creaky, with heavy-handed theatrics, typical of the early talky era. I 
Cant watch. I downloaded this program and it was garbled and video as if played in slow motion. This is the first of two downloads that didn t play. I 
Good production, but absolutely pointless. I should say first that this should be a good movie, at least on paper. John Hurt and Richard Burton turn in solid performances, and 
Warning Incomplete Episode!!!. The episodes in this series have an average running time of 50 minutes. This one happens to be only 18 minutes. This mean sthat the file abruptly 
Did not work. The ones that are posted twice do not work. If they are posted once, you can try to download it, but it might not work. The video 
OH...THE PAIN. THE PAIN OF IT ALL... Mortal Kombat: Annihilation is one of those films that is so bad that it actually HURTS to watch it.From the nearly complete recast 
Robert Altman at his weirdest. This film is evocative of the quirky, madcap Robert Altman at his best and worst. We got it because we have a Bud Cort fan 
Avoid if you like Vampire Movies, and if you want to see good acting. There are very few movies that I haven t finished watching. This now goes on the 
Cant watch. I downloaded this program and it was garbled and video as if played in slow motion. This is the first of two downloads that didn t play. I 
Not very good. I love sci fi and hate this movie. When I mean I love sci fi, I will accept plot flaws to a good premise or special effects. 
... horrid movie. i can t believe how disappointed i am in this anime. i had heard so much about it and how it is a story that is at 
Over Acting for Beginners. More bad acting and false passion than any human can stand. If you can empathise with any of these characters see a doctor  
calling this the worst horror movie is kind. this is movie is A NICE BIG PILE OF WARM DOO DOO.THERE NOTHING ENTERTAINING ABOUT THIS FILM HORRIBLE ACTING AND SERIOUS OVER 
This is really stupid!. This has to be Stephen King s worst work adapted. This adaptation is even worse than Needful Things. Children Of The Corn I am talking about 
What about the missing episodes. Why should one buy this series? What about the missing episodes? Are they going to be added later, or this is it? I cannot believe 
Horrid Film. This is still to this day one of the most aweful films i ever saw. I took a girl ona date for this movie and wow, what a 
no title. What a disappointment! I remember Siskel and Ebert raving over this romantic comedy. Romantic, maybe, but comedy - never. Very predictable plot from beginning to end. And Rosie 
Friday the 13th, Part V - A New Beginning. Friday the 13th, Part V - A New Beginning is the worst in the series so far and that is saying 
Not Totally Faithful to the book!!. First of all I love the chistmas box the book. I have read it and re-read it. I also liked the other 2 books 
Thumbs way down. Oh did this one stink. Convoluted and confusing, the buildup to the conclusion was positively endless. I didn t laugh once  
Same Thing. The Dane Cook episode is the same one that it on his Harmful If Swallowed c.d. The c.d. also has the uncensored version of this routine that is 
Lowenstinks. This film was dreadful. Streisand is absolutely unlikeable. To enjoy this film, you would need to buy into the romance between Streisand and Nolte and I just can t 
Why the Charge. Curious as to why Amazon would charge for this content when CBS offers it for free on the official Survivor Website. Yeah, at the CBS site you 
Lack of talent ruins a movie that could have been good. Battlefield Earth is an adaptation of the book by L. Ron Hubbard.While the book was a rather interesting story 
Dissappointing. I wasn t expecting Disney, but I was less than thrilled by this feature. I m assuming there s a genera of animation produced in the mid 70 s 
My advice, watch Get Shorty instead. The problem with this film is I read the book. I was disappointed simply because `Be Cool is an obvious showcase for the musical 
Be Warned. I love this film. It s epic storytelling on a grand scale and timeless viewing. I was thrilled to see it being released on DVD , UNFORTUNATELY it 
Not Happy. I m a fan of NCIS, but living in australia means that the episodes and dvd s area released months behind those in the USA. Why is this 
Only mildly interesting, and no classic . I saw this at the library and brought it home, thinking it might be interesting to watch. I very rarely watch films made 
Same Thing. The Dane Cook episode is the same one that it on his Harmful If Swallowed c.d. The c.d. also has the uncensored version of this routine that is 
Wonderful program, but flawed files... Okay, so to catch up on this exciting new series, I decided to try this revolutionary downloading program - Amazon Unbox! I selected the first 
The boring movie!. This was just a boring movie...can t understand the otherreview s saying it s good. Wouldn t reccomend it  
Kronos - the ravager of worlds. A lonely traveler is out in the dessert looks like the same place that many great sci-fi movies were made in his 50 s 
Negative 5 stars!. Because there were so many great reviews for this movie, I decided to go out and rent this film and watch it. I was bored to death 
Nothing to write home about. The review on the cover of the DVD reads A snappy, sexy thriller... I must disagree. This was the most unsexy, and unthrilling movie I 
AMAZON SUCKS. I live in the UK and Amazon doesn t allow me to download ANY off the NCIS shows. This service should be open to all amazon users......!!!!!!  
Forget it. What this film has is an interesting premise and storyline but unfortunatley it becomes to silly and ridicoulos and the car chase scenes didn t help either. Bruce 
Beware of Unbox!!!. Amazon is offering a promotion where you are supposed to get a free TV show whenever you buy a DVD in Dec. Well, they charged me for 
just ok. i v seen a multitude of documentaries, both low and high budget, and although i found the story interesting i felt this film was not up the hype 
Let s Bore Film Fans to Death. I tried this one based on other submitted reviews and was sorely disappointed. Where were the scares? A little trippy, it hints at 
imho: Dumb movie... After seeing some of the other Amazon reviews of this movie, and the fact that Jason Swartzman was in it after having seen him for the first 
I Didn t Like This Movie!. I watched this movie called Water and I hated it and thought it was terrible and BORING and it just wasn t funny at 
Unwatchable. Character studies of dysfunctional families is a fairly common comedy device. However, in most such efforts, there are enough likable traits to counterbalance the unlikeable ones. We found no 
Vulgar and disgusting. Saw this one on television.Vincent van Gogh was misfortunate in life and certainly crazy. The artist who portrays him does his job very well.The scenery is breathtaking.However 
DVD PUT IT ON DVD. I DONT WONT TO DOWNLOAD IT I WONT IT ALL ON DVD THIS IS WASTE MONE  
The Big Letdown... Believe me guys, I am a fanatic of Classic Outer Limits, I remember when my Mother would not allow my brother and I to watch because we 
Great Movie - HORRIBLE DVD. The move is one of my favorite sci-fi films but this is the worst job of trasferring to DVD that I have seen. There are 
Poor. Terrible, all around bad movie. Don t waste your time  
Did not work. The ones that are posted twice do not work. If they are posted once, you can try to download it, but it might not work. The video 
My name is George Hen . How adorable this film is. John Lithgow is brilliant. I love the scene when he is throwing all the McDonalds hamburgers at the beast. 
Not a movie about sharks, a movie about poop. This movie is the story of a man, Mark Desantis, who is killed. Mark s laptop is harpooned and then he 
Cant watch. I downloaded this program and it was garbled and video as if played in slow motion. This is the first of two downloads that didn t play. I 
Disappointing. My friend has a minor talking role in this, so I downloaded it to see my friend, and because I admire some of De Palma s past work. The 
Terrible. This was an awful movie. I kept waiting for it to get better and then the credits started to roll. I was hoping for something along the lines of 
Boring... I found the humor to be somewhat arid. I had trouble staying awake.Not recommended while driving  
The devil made this movie. I made my girlfriend a deal: I ll watch The Devil Wears Prada with you if you watch Kung Fu Hustle with me. We watched 
The recording was very bad. The play itself was good, but the quality of video and sound was very bad all through the DVD.The sound quality near the end of 
How much did they spend on this garbage? Worst Levinson film I ve seen since Envy . I actually wish they had given us director commentary on this disc because 
Chop! Chop!. What do Holly Hunter and Burt Reynolds have in common? Just another flick about a gal who falls for an abuser, this time with the gimicks of a 
Yuck Yuck. What was I thinking when i put this movie on my rental list, I couldn t even begin to tell you. I guess from watching the previews, I 
Same Thing. The Dane Cook episode is the same one that it on his Harmful If Swallowed c.d. The c.d. also has the uncensored version of this routine that is 
Believe it or not... it s terrible. The year: 1965. The cast: Peter Sellers. Peter O Toole. Woody Allen. Ursula Andress. The soundtrack: Burt Bacharach. Tom Jones. Dionne Warwick. Manfred 
Nick Cage in a bad role. Nicky Cage was not very good in this cinematic decomplishment, as he turns in a horrible acting job in this dull and boring movi 
an exercise in film making; not a film; 2 10. Roman Polanski, whom I m none too big a fan, is quoted as saying People like Truffaut, Lelouch and Godard 
A disappointment. I bought this movie because I thought it would be like the movie version of Louis L Amour s Conagher . Unfortunately, it is a far cry from 
Why the Charge. Curious as to why Amazon would charge for this content when CBS offers it for free on the official Survivor Website. Yeah, at the CBS site you 
Awful!. I rented this movie from Netflix recently, expecting a wonderfully campy, cheesy horror film. WRONG. Its just an hour and a half of boring film.The plot is lacking, the 
not entertaining. First let me say that i am a composer and die hard musician. i just watched this movie to learn what i could about this supposed genius, and 
awful. Painfully bad. I want my money back.Listen to Bob s albums, but stay far away from this movie. So many great actors, but the story is nonsense. The characters 
Even Steve thinks this film sucks. After doing this film Steve Martin quit doing movies for a while and even turned down scripts written for him so if your a 
Not what I hoped for. I m a big fan of Colin Firth and I was disappointed of this movie, I felt sleep, wish I never do on an average 
Beware of Unbox!!!. Amazon is offering a promotion where you are supposed to get a free TV show whenever you buy a DVD in Dec. Well, they charged me for 
Dreadful, Dull, Disappointing. I didn t care for this version at all. I thought there was no chemistry between the two leads, and there should be at least some smoldering 
No memorable quote available. Half-hearted adaptation of Ernest Haycox novel is weak. Scott is good as Owen; Knox is equally good as the baddie, but the film is missing movement. 
Beware of Unbox!!!. Amazon is offering a promotion where you are supposed to get a free TV show whenever you buy a DVD in Dec. Well, they charged me for 
Cant watch. I downloaded this program and it was garbled and video as if played in slow motion. This is the first of two downloads that didn t play. I 
Full screen = no sale. I wont buy this title until they release the original WIDESCREEN version  
It was entertaining... But had one of the worst endings ever...what happened anyway? My husband and I had to rewind the movie 3xs and still could not decide if the 
Poor. Terrible, all around bad movie. Don t waste your time  
One step above truly hideous. I am a Jane Austen fan. I love Pride and Prejudice and there are three very good to marvelous adaptations of that great novel. However, 
Should have been made in America. This film was very confusing and boring. The dark tone of the scenery was depressing - hard to follow, I really think this should 
Missing episodes. This series is being sold with missing episodes, like many others here in Unbox. Do they think their customers are so dumb? Would you buy a DVD series 
Bad Device. I wish that Amazon can get it right, that when you create a service you do not have to go into some s computer and screw around, Shame 
Bad Device. I wish that Amazon can get it right, that when you create a service you do not have to go into some s computer and screw around, Shame 
Just not gripping. Admittedly the film is clever and the acting is good and it has it s moments of entertainment, BUT overall it s long and pretty boring. It 
For Lana Clarkson fans only. An incredibly bad film, whose only redeeming feature is Lana Clarkson, in and out of some skimpy outfits. She s completely gorgeous, but even she 
What a waste. Betty s voice is still strong and beautiful but arrangements of most beloved songs are simply horrible.If you prefer traditional versions this concert is not for you.The 
Travesty. An accessible story with all the elements of a Great American Novel was somehow transformed into a perverse, worst of the worst ABC Afterschool Specials. If you had not 
boring....... i only liked it when pinnochio talked. that was funny, but the rest of the movie was discusting. Some of the scens were very sick not the blood, but 
Can you say fast-forward?. A failed spoof on Sci-Fi genre luckily, this is a movie about how to make movies. It is designed to teach you how to keep your 
Nick Cage in a bad role. Nicky Cage was not very good in this cinematic decomplishment, as he turns in a horrible acting job in this dull and boring movi 
 Pheelyp es a weeynie . This is a ho-hum buddy picture about a bunch of guys driving aimlessly around the west for one last fandango before they get drafted. 
Attempts To Be Provokative, Turns Out Ultra-Violent Gore. The ideas behind 15 minutes aren t bad at all. Take one Robert DeNiro, put him in New York, mix him with 
Definitely not recommended. I m afraid that the reviewers who didn t like this movie understood it all too well. At times it promises real drama and tension, but never 
The cover and the title make you think you re in for more than this movie delivers. As fans of Starship Troopers know, the very name Starship Troopers implies a 
Do the Twisted. I think when many say they knew after 15 minutes who the killer was, they re actually saying they guessed who the killer was and just happened 
This is Horrible. I love the Avatar and I was so thrilled that amazon allows people to download it except the only problem is I ve been trying for the 
Poorly Written Script Sends This One Into The Tank. Private investigator and former police detective Jack Ramsey Michael Harris is enjoying an affair with the local district attorney s wife, 
What s up with that?. I wish I had read the other reviews first. Though the quality of the episode and the video are top notch, the episode cuts off 
Michael Moore is an idiot. This was a ridiculous documentary. I watched with an open mind, and after it was finished I was so irritated because he showed such a 
Only a few more laughs. By the time I came to this movie, I had already gotten there first three. Up in Smoke was fantastic, Next Movie was great, Nice 
Regional issues. Unless I missed it, it was unclear that the video download only worked in certain regions so I ended up wasting my money.  
Hahaha!!!. Well, what can I say? I m usually not very picky about seamonster -movies especially when there s a shark involved . And though it didn t surprise me, 
Warning Incomplete Episode!!!. The episodes in this series have an average running time of 50 minutes. This one happens to be only 18 minutes. This mean sthat the file abruptly 
Horrible. DO NOT WATCH THIS GARBAGE! This is the worst movie I have ever seen. I m honestly upset with the other reviewers here for misleading me so badly. This 
the worst vampires movie. Is a bad sequel and have a poor quality of special effects  
Amateurish rubbish. This complete waste of 90 minutes is probably the strongest contender ever for a lone-star movie. With cringingly awful acting, laughable special effects the ridiculous head in a 
Paris when it stinks. I m a fan of Audrey Hepburn and this movie relys heavily - too heavily on her charm. And unfortunately, it is some of her worst 
Cant watch. I downloaded this program and it was garbled and video as if played in slow motion. This is the first of two downloads that didn t play. I 
What about the missing episodes. Why should one buy this series? What about the missing episodes? Are they going to be added later, or this is it? I cannot believe 
 A Promise is a Promise . It Could Happen to You was a bit of a disappointment, considering the makeup of the cast: Nicolas Cage, Bridget Fonda, and Rosie 
Unbelievable crap!. This movie could ve been something, had they gotten some real actors, a script and a director. Well, they didn t, and this movie is an embarassment to 
what horrific garbage!. while i was watching this movie i thought to myself, am i going to die? have i gone to horrible movie hell? you see i was trapped 
don t even bother!. Okay, I was excited to see this movie. I read a few non fiction books on the dot.com bust and thought I knew a thing or 
Same Thing. The Dane Cook episode is the same one that it on his Harmful If Swallowed c.d. The c.d. also has the uncensored version of this routine that is 
Heartburn is the least of the ills caused by this movie. A slow, loggy movie about a philandering husband everyone was guessing this was Watergate reporter Carl Bernstein in the 
WARNING: Wrong Episode!. This item is supposedly titled UFOs: The First Encounters. It is, however, an episode about reincarnation. It is incorrectly labeled. DO NOT PURCHASE unless you are looking 
No information, no pictures. The film shows no action, except a disgusting performance of cutting apart a dead body, and you ask yourself, in what relation to the subject of 
Unforgettable Unfortunately . This movie survives in my memory for over 40 years as one of the most boring stupid excuses for a comedy ever made. I use it as 
Don t do it!. This is not the Seagal of the early nineties. Something has happened to him and it s not good. He s gained weight, does not move 
There s a reason why the director was assassinated. I m a firm believer in freedom of speech, but honestly this movie was disgusting without any redeeming qualities. The product 
Be leary of all these excellent reviews. This movie is a Shakespeare play. The dialog is impossible to understand for MUCH of this movie. Anyone who says that they understand 
The book was great and the movie wasn t, period. Do yourself a favor and read the book and dont even look at this movie  
DONT T GET IT!. This is the worst of them all, not all that funny and no weed jokes, it s a waste of time and money, get the others 
Don t Let Rob Schneider Steal More Money. I guess we can thank the global population for making Rob Schneider a leading actor by continually buying tickets to that Deuce 
Just not gripping. Admittedly the film is clever and the acting is good and it has it s moments of entertainment, BUT overall it s long and pretty boring. It 
Please not another season of this!. Ok so I have always thought Courteney Cox should not be allowed on screen due to lack of acting talent and this show just 
U won t care for this one. Sat down and saw this one on televion.Only good service was that now I know buying the DVD would be a waste of 
Edited Version. This version is eleven minutes shorter than the orginal version based on the information printed on the DVD and listed in the IMDb. I saw this film a 
Very boring. The plot to this movie or so called sequal is horrible. I rented this movie expecting something good and I end up falling asleep. I actually had to 
HORRIBLE!. i went to see this movie when it first came out, and i nearly fell asleep watching it. THIS MOVIE IS NOT WORTH WATCHING. it s so fake, & 
Did I watch the same movie???. Ok.. I read the other reviews for this movie and I am a little confused. Was it the same movie? The martial arts were 
Hands down the worst of the series that has to do with Michael . Yup, definately the worst Halloween movie. Come on, Michael on a reality show? Ha! What the 
What s up with that?. I wish I had read the other reviews first. Though the quality of the episode and the video are top notch, the episode cuts off 
don t even bother!. Okay, I was excited to see this movie. I read a few non fiction books on the dot.com bust and thought I knew a thing or 
Survivor Rip Off. I have bought 2 seasons of Survivor on unbox and both of them are not complete. Very dissapointing. Guatemala episode 11 is from a completely different season 
Not Happy. I m a fan of NCIS, but living in australia means that the episodes and dvd s area released months behind those in the USA. Why is this 
Uncle Buck with John Candy. This movie was not entertaining at all, bad script, etc  
What s up with that?. I wish I had read the other reviews first. Though the quality of the episode and the video are top notch, the episode cuts off 
WARNING: Wrong Episode!. This item is supposedly titled UFOs: The First Encounters. It is, however, an episode about reincarnation. It is incorrectly labeled. DO NOT PURCHASE unless you are looking 
Ultimately Pretty Pointless. The only thing that kept me watching this movie was to see if there was going to be a Twilight Zone-type ending that tied it all together.Remember 
Mud. Slow,dull and done on the cheap ....stick with Zulu and read your history book s ....far more entertaining  
Annoying Lear. I didn t enjoy the film. I also didn t enjoy the original play by Shakespeare. King Lear is one of my least favorite Shakespeare plays. I don 
The Postman is a very seriously boring movie. The Postman is a very seriously boring movie with terrible story line. One of the most conspicuous flops of its decade and 
 You re going down Burnhead ???. I have to say that I was not familiar with any Darkman comics, or had had any other contact with the character apart 
Why the Charge. Curious as to why Amazon would charge for this content when CBS offers it for free on the official Survivor Website. Yeah, at the CBS site you 
Forsake your dearly departed or you ll be sorry. B Grade movie, really poor script.Bulk of movie is boring, superficial, stereotypical.Real purpose of movie is Baptist condemnation of the supernatural.Story 
Three Fugitives,83hours til dawn and alias. Iam not at all happy that i could not watch this product the three fugitives and 83 hours til dawn and am unable to 
It watched it on fast forward!. Except for two cuties: William Zabka and Dana Ashbrook! Especially Dana who constantly having a hard-on  
Free to Be You and Me - As Long As You Are Like Me. I rented this on a whim and it brought back a lot of memories from my 
Krull is dull. For starters, one witnesses what appears to be a large clump of 2x4 s floating out in space, followed by a series of apparent environmental stock-footage with 
UnBox video not yet working. Will not play once video was downloaded. I get the error message: can not play file, please try again later. error# 0x80040273 I made the 
Regarding the HD DVD. Have not yet seen the movie!This was one of the films I ordered for my very first HD order. Also included in the order were King 
I just didn t get it. This movie seemed to vacillate between funny ha ha office bullsh t and then really freaky stuff that made me cringe and want to 
I just didn t get it. This movie seemed to vacillate between funny ha ha office bullsh t and then really freaky stuff that made me cringe and want to 
Very Irreverant remake of a Disney Icon. I am appalled at the greed that Disney must have to milk out a classic like The Absent Minded Professer . I found 
It s so stupid... ...but not funny. I don t even know how Cheech and Chong fans could like this movie, because this movie is really different from Up in 
Politically correct retelling ruins the message. Although it looks the same as the HG Wells story and the 1960 movie, this bastardization of the source material turns a frightening story 
Bow wow. I can t understand the good reviews given by others to this movie. Frankly, I thought it was a dog.Not to say that it had no redeeming features 
Dont get Fiji final week ... Dont dwnld Survivor, Thunderstorms & Sacrifice . Its my fault for not reading the whole thing. you would think that the last episode would 
Terrible. Do not waste your money purchasing this movie. Wait until it shows on TV, if you re unlucky enough to see it. The music for the story was inappropriate 
Sex shouldn t be boring. Two moderately decent-looking white people who apparently aren t very good at sex go at it in this movie. If that s your thing, why 
Poor support. This was my first download of this type and also my last. I did get it to play with my desktop where I downloaded it but moving it 
ehhh, so-so. it s a so-so film with Rourke in the IRA. Some good stuff. Look for Anthony Stewart Head as Rupert note: Anthony Stewart Head portraits another Rupert...Rupert Giles 
Missing episodes. This series is being sold with missing episodes, like many others here in Unbox. Do they think their customers are so dumb? Would you buy a DVD series 
Not bad, but... this in an uninspired telling of a transparent political fable. Good enough to watch once  
The king of sleeze-Jing Wong forgets that he had Jet Li starring in this movie. Jing Wong truly sinks to a new low with this movie. Jet has one oustanding 
Great Acting but a bad story line. Mario Van Peebles, Patsy Kensit, and Paula Marshall are all talented individuals whose talent went to waste in this film. The storyline of 
Like All Gossip: A Lot of Talk About Nothing!. A very boring and stupid film about college freshmen with a kindergarten maturity level. The movie is horribly slow to get 
Star Trek: City on the Edge of Forever. My favorite show of the Trek series but there s no way I d buy another individual program from Amazon. It will 
Dont get Fiji final week ... Dont dwnld Survivor, Thunderstorms & Sacrifice . Its my fault for not reading the whole thing. you would think that the last episode would 
Stupid Boring Gross!!. This movie is stupid beyond words. I watched a half hour of it and COULD NOT watch any more I was so lost and BORED. Makes no 
Typical rom-com for genre bullock affleck fans only. If you ve seen one you ve seen them all. Uptight guy by chance meets quirky girl, she brings him out of 
I ve been cheated by Amazon. It really sucks, tried to download but it s not able to be viewed in pc s outsided the united states. Crikey.I ll have 
hysterical, and then, just bad, mostly. i cannot, with good conscience recommend this movie.please, look at it! it s awful!drew barrymore, in her sad poison ivy stage, is a wretched 
Well photographed, beautiful locations. But ultimately unsatisfying. The acting is extremely average. The plot is very underplayed; in fact, too underplayed. Even the erotic aspect of the movie loses its 
Dead and Bloated. My SECOND review, as my first did not get printed AS USUAL . Anyway, I ll try to make this short and sweet. I usually try and 
stick with original. Why American production make HK movies look so cheap? First of all, they cut off so much scene, second of all ruin it by making look act 
Not my cup of tea. I bought this DVD based on reviews here on Amazon. I won t fault others for thier position, it s just a matter of personal 
plot holes. The first half hour of this 90 minute movie is actually quite good. In fact, it is enthralling and has an interesting twist in that we don t 
Fun Family Movie. The movie is fine, but...............There is no mention in the description that this is a widescreen format. I use full screen. When I contacted amazon to find 
not even good. When I purchased devils rejects this movie came free. I watched it and hated it.Its about a sick individual who is on the internet trying to get 
Amateur Effort By A Budding Genius. A good dozen years before his spectacular films of the late 70 s and mid 80 s Allen got his name on the directorial 
Here we go again. I gave this movie 1 star because it is not a true documentary. It falls more along the same fodder as Spinal Tap . It is 
Not Happy. I m a fan of NCIS, but living in australia means that the episodes and dvd s area released months behind those in the USA. Why is this 
The Itsy Bitsy Problem. By the time you see the ending, you ll already be wishing that you hadn t watched this movie  
Same Thing. The Dane Cook episode is the same one that it on his Harmful If Swallowed c.d. The c.d. also has the uncensored version of this routine that is 
AMAZON SUCKS. I live in the UK and Amazon doesn t allow me to download ANY off the NCIS shows. This service should be open to all amazon users......!!!!!!  
Poor support. This was my first download of this type and also my last. I did get it to play with my desktop where I downloaded it but moving it 
Brilliant Actings, Predictable Story!. I ve seen ethan hawk s best performance ever in this movie. it was great. Wiona ryder and other actors were great too but it was 
This is Travolta s Passion of the Christ . Imagine someone combining the scripts for Zardoz and Independence Day and letting a troupe of inebriated special education students control the 
What about the missing episodes. Why should one buy this series? What about the missing episodes? Are they going to be added later, or this is it? I cannot believe 
So Bad, It s Not Even Good. People were talking about this movie as if it were the next Silence Of The Lambs. There are several reasons why this is 
Not Happy. I m a fan of NCIS, but living in australia means that the episodes and dvd s area released months behind those in the USA. Why is this 
Bloody No Good..... This movie is by far the worse of the Urban Legends movies. This is another movie I purchased without renting it first. Had I rented it first, 
Pretty Woman Meets Toxic Tort. Even though I would agree that Erin Brockovich is an entertaining movie, Julia Roberts performance in it is no more Oscar-worthy than was her performance 
Short but good nude scene, disappointing movie. Well if you want to see Angelina Jolie young and naked in a short one time scene this is the movie to buy, 
Cant watch. I downloaded this program and it was garbled and video as if played in slow motion. This is the first of two downloads that didn t play. I 
One of the worst zombie flicks ever. I m addicted to bad movies. Really bad movies. Ones that make you laugh at its pure inadequacy and the ones that are 
What s up with that?. I wish I had read the other reviews first. Though the quality of the episode and the video are top notch, the episode cuts off 
Where. Is. The. DVD. I m going nuts here... I might be in a slightly foul mood on account of my having just returned from a shopping experience which resulted 
No need to Suicide. I get the story line but 5 grown women need to suicide!? The one dare to have a boyfriend and not go home for the night. 
